Symbol,Name,Sector,Industry
CZNC,Citizens & Northern Corp,Finance,Major Banks
CZWI,"Citizens Community Bancorp, Inc.",Finance,Savings Institutions
CFG,"Citizens Financial Group, Inc.",Finance,Major Banks
CZFC,Citizens First Corporation,Finance,Major Banks
CIZN,Citizens Holding Company,Finance,Major Banks
CIA,"Citizens, Inc.",Finance,Life Insurance
CTXS,"Citrix Systems, Inc.",Technology,Computer Software: Prepackaged Software
CHCO,City Holding Company,Finance,Major Banks
CIVB,"Civista Bancshares, Inc. ",Finance,Major Banks
CIVBP,"Civista Bancshares, Inc. ",Finance,Major Banks
CIVI,"Civitas Solutions, Inc.",Health Care,Medical/Nursing Services
CKX,"CKX Lands, Inc.",Energy,Oil & Gas Production
CLAR,Clarus Corporation,Consumer Non-Durables,Recreational Products/Toys
CLNE,Clean Energy Fuels Corp.,Public Utilities,Natural Gas Distribution
CLH,"Clean Harbors, Inc.",Basic Industries,Environmental Services
CCO,"Clear Channel Outdoor Holdings, Inc.",Consumer Services,Advertising
CLFD,"Clearfield, Inc.",Public Utilities,Telecommunications Equipment
CLRO,"ClearOne, Inc.",Public Utilities,Telecommunications Equipment
CLSD,"Clearside Biomedical, Inc.",Health Care,Major Pharmaceuticals
CLIR,ClearSign Combustion Corporation,Capital Goods,Industrial Machinery/Components
CLIRW,ClearSign Combustion Corporation,Capital Goods,Industrial Machinery/Components
CLW,Clearwater Paper Corporation,Basic Industries,Paper
CMTA,Clementia Pharmaceuticals Inc.,Health Care,Major Pharmaceuticals
CBLI,"Cleveland BioLabs, Inc.",Health Care,Biotechnology: Commercial Physical & Biological Resarch
CLF,Cleveland-Cliffs Inc.,Basic Industries,Precious Metals
CLPR,Clipper Realty Inc.,Consumer Services,Real Estate Investment Trusts
CLX,Clorox Company (The),Consumer Durables,Specialty Chemicals
CLD,Cloud Peak Energy Inc,Energy,Coal Mining
CLDR,"Cloudera, Inc.",Technology,Computer Software: Prepackaged Software
CLVS,"Clovis Oncology, Inc.",Health Care,Major Pharmaceuticals
CME,CME Group Inc.,Finance,Investment Bankers/Brokers/Service
CMS,CMS Energy Corporation,Public Utilities,Power Generation
CMS^B,CMS Energy Corporation,Public Utilities,Power Generation
CMSA,CMS Energy Corporation,Public Utilities,Power Generation
CNA,CNA Financial Corporation,Finance,Property-Casualty Insurers
CCNE,CNB Financial Corporation,Finance,Major Banks
CNO,"CNO Financial Group, Inc.",Finance,Accident &Health Insurance
CNXM,CNX Midstream Partners LP,Public Utilities,Natural Gas Distribution
CEIX,CNX Resources Corporation,Energy,Oil & Gas Production
CNX,CNX Resources Corporation,Energy,Oil & Gas Production
CCB,Coastal Financial Corporation,Finance,Major Banks
CWAY,"Coastway Bancorp, Inc.",Finance,Savings Institutions
COBZ,CoBiz Financial Inc.,Finance,Major Banks
KOF,Coca Cola Femsa S.A.B. de C.V.,Consumer Non-Durables,Beverages (Production/Distribution)
COKE,Coca-Cola Bottling Co. Consolidated,Consumer Non-Durables,Beverages (Production/Distribution)
KO,Coca-Cola Company (The),Consumer Non-Durables,Beverages (Production/Distribution)
COCP,"Cocrystal Pharma, Inc.",Health Care,Major Pharmaceuticals
CODA,"Coda Octopus Group, Inc.",Capital Goods,Industrial Machinery/Components
CDXS,"Codexis, Inc.",Basic Industries,Major Chemicals
CODX,"Co-Diagnostics, Inc.",Health Care,Medical/Dental Instruments
CVLY,"Codorus Valley Bancorp, Inc",Finance,Savings Institutions
CDE,"Coeur Mining, Inc.",Basic Industries,Precious Metals
JVA,"Coffee Holding Co., Inc.",Consumer Non-Durables,Food Distributors
CCOI,"Cogent Communications Holdings, Inc.",Consumer Services,Telecommunications Equipment
CGNX,Cognex Corporation,Capital Goods,Industrial Machinery/Components
CTSH,Cognizant Technology Solutions Corporation,Technology,EDP Services
CWBR,"CohBar, Inc.",Health Care,Major Pharmaceuticals
COHN,Cohen & Company Inc.,Finance,Investment Bankers/Brokers/Service
CNS,Cohen & Steers Inc,Finance,Investment Managers
COHR,"Coherent, Inc.",Capital Goods,Biotechnology: Laboratory Analytical Instruments
CHRS,"Coherus BioSciences, Inc.",Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
COHU,"Cohu, Inc.",Capital Goods,Electrical Products
CFX,Colfax Corporation,Capital Goods,Fluid Controls
CL,Colgate-Palmolive Company,Consumer Non-Durables,Package Goods/Cosmetics
CLCT,"Collectors Universe, Inc.",Miscellaneous,Business Services
COLL,"Collegium Pharmaceutical, Inc.",Health Care,Major Pharmaceuticals
CIGI,Colliers International Group Inc. ,Finance,Real Estate
CBAN,"Colony Bankcorp, Inc.",Finance,Major Banks
CLNY,"Colony Capital, Inc.",Consumer Services,Real Estate Investment Trusts
COLB,"Columbia Banking System, Inc.",Finance,Major Banks
CLBK,"Columbia Financial, Inc.",Finance,Savings Institutions
CXP,"Columbia Property Trust, Inc.",Consumer Services,Real Estate Investment Trusts
COLM,Columbia Sportswear Company,Consumer Non-Durables,Apparel
CMCO,Columbus McKinnon Corporation,Capital Goods,Construction/Ag Equipment/Trucks
CCZ,Comcast Corporation,Consumer Services,Television Services
CMCSA,Comcast Corporation,Consumer Services,Television Services
CMA,Comerica Incorporated,Finance,Major Banks
FIX,"Comfort Systems USA, Inc.",Capital Goods,Engineering & Construction
CCNI,"Command Center, Inc.",Technology,Professional Services
MOC,Command Security Corporation,Consumer Services,Diversified Commercial Services
CBSH,"Commerce Bancshares, Inc.",Finance,Major Banks
CBSHP,"Commerce Bancshares, Inc.",Finance,Major Banks
CMC,Commercial Metals Company,Basic Industries,Steel/Iron Ore
CVGI,"Commercial Vehicle Group, Inc.",Capital Goods,Auto Parts:O.E.M.
COMM,"CommScope Holding Company, Inc.",Technology,Radio And Television Broadcasting And Communications Equipment
JCS,"Communications Systems, Inc.",Public Utilities,Telecommunications Equipment
CBU,"Community Bank System, Inc.",Finance,Major Banks
ESXB,Community Bankers Trust Corporation.,Finance,Major Banks
CFBI,"Community First Bancshares, Inc.",Finance,Savings Institutions
CYH,"Community Health Systems, Inc.",Health Care,Hospital/Nursing Management
CYHHZ,"Community Health Systems, Inc.",Health Care,Hospital/Nursing Management
CHCT,Community Healthcare Trust Incorporated,Consumer Services,Real Estate Investment Trusts
CTBI,"Community Trust Bancorp, Inc.",Finance,Major Banks
CWBC,Community West Bancshares,Finance,Major Banks
CVLT,"Commvault Systems, Inc.",Technology,Computer Software: Prepackaged Software
CODI,Compass Diversified Holdings,Consumer Durables,Home Furnishings
CMP,"Compass Minerals International, Inc.",Basic Industries,Mining & Quarrying of Nonmetallic Minerals (No Fuels)
CPSI,"Computer Programs and Systems, Inc.",Technology,EDP Services
CTG,"Computer Task Group, Incorporated",Technology,EDP Services
CIX,CompX International Inc.,Capital Goods,Industrial Machinery/Components
SCOR,"comScore, Inc.",Miscellaneous,Business Services
CHCI,"Comstock Holding Companies, Inc.",Capital Goods,Homebuilding
LODE,"Comstock Mining, Inc.",Basic Industries,Precious Metals
CRK,"Comstock Resources, Inc.",Energy,Oil & Gas Production
CMTL,Comtech Telecommunications Corp.,Technology,Radio And Television Broadcasting And Communications Equipment
CAG,"ConAgra Brands, Inc.",Consumer Non-Durables,Packaged Foods
CNAT,Conatus Pharmaceuticals Inc.,Health Care,Major Pharmaceuticals
CNCE,"Concert Pharmaceuticals, Inc.",Health Care,Major Pharmaceuticals
CXO,Concho Resources Inc.,Energy,Oil & Gas Production
CDOR,"Condor Hospitality Trust, Inc.",Consumer Services,Real Estate Investment Trusts
CFMS,"ConforMIS, Inc.",Health Care,Industrial Specialties
CNFR,"Conifer Holdings, Inc.",Finance,Property-Casualty Insurers
CNMD,CONMED Corporation,Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus
CTWS,"Connecticut Water Service, Inc.",Public Utilities,Water Supply
CNOB,"ConnectOne Bancorp, Inc.",Finance,Major Banks
CONN,"Conn&#39;s, Inc.",Consumer Services,Consumer Electronics/Video Chains
COP,ConocoPhillips,Energy,Integrated oil Companies
CCR,CONSOL Coal Resources LP,Energy,Coal Mining
CNSL,"Consolidated Communications Holdings, Inc.",Public Utilities,Telecommunications Equipment
ED,Consolidated Edison Inc,Public Utilities,Power Generation
CTO,Consolidated-Tomoka Land Co.,Finance,Real Estate
CNAC,Constellation Alpha Capital Corp.,Finance,Business Services
CNACR,Constellation Alpha Capital Corp.,Finance,Business Services
CNACU,Constellation Alpha Capital Corp.,Finance,Business Services
CNACW,Constellation Alpha Capital Corp.,Finance,Business Services
STZ,Constellation Brands Inc,Consumer Non-Durables,Beverages (Production/Distribution)
CNST,"Constellation Pharmaceuticals, Inc.",Health Care,Major Pharmaceuticals
ROAD,"Construction Partners, Inc.",Basic Industries,Military/Government/Technical
CPSS,"Consumer Portfolio Services, Inc.",Finance,Finance: Consumer Services
MCF,Contango Oil & Gas Company,Energy,Oil & Gas Production
CUO,Continental Materials Corporation,Capital Goods,Building Materials
CLR,"Continental Resources, Inc.",Energy,Oil & Gas Production
CFRX,ContraFect Corporation,Health Care,Major Pharmaceuticals
CTRV,ContraVir Pharmaceuticals Inc.,Health Care,Major Pharmaceuticals
CTRL,Control4 Corporation,Capital Goods,Electrical Products
CVON,"ConvergeOne Holdings, Inc.",Technology,Computer Software: Prepackaged Software
CVG,Convergys Corporation,Technology,EDP Services
AWSM,Cool Holdings Inc.,Consumer Non-Durables,Electronic Components
CTB,Cooper Tire & Rubber Company,Consumer Durables,Automotive Aftermarket
CPS,Cooper-Standard Holdings Inc.,Capital Goods,Auto Parts:O.E.M.
CPRT,"Copart, Inc.",Consumer Durables,Automotive Aftermarket
CRBP,"Corbus Pharmaceuticals Holdings, Inc.",Health Care,Major Pharmaceuticals
CORT,Corcept Therapeutics Incorporated,Health Care,Major Pharmaceuticals
CMT,Core Molding Technologies Inc,Consumer Non-Durables,Plastic Products
CXW,"CoreCivic, Inc.",Consumer Services,Real Estate Investment Trusts
CLGX,"CoreLogic, Inc.",Technology,EDP Services
CORE,"Core-Mark Holding Company, Inc.",Consumer Non-Durables,Food Distributors
CORR,"CorEnergy Infrastructure Trust, Inc.",Consumer Services,Real Estate Investment Trusts
COR,CoreSite Realty Corporation,Consumer Services,Real Estate Investment Trusts
CVRS,"Corindus Vascular Robotics, Inc.",Health Care,Medical/Dental Instruments
CORI,"Corium International, Inc.",Health Care,Major Pharmaceuticals
CRMD,CorMedix Inc,Health Care,Major Pharmaceuticals
CSOD,"Cornerstone OnDemand, Inc.",Technology,Computer Software: Prepackaged Software
GLW,Corning Incorporated,Basic Industries,Telecommunications Equipment
GYC,Corporate Asset Backed Corp CABCO,Finance,Finance: Consumer Services
OFC,Corporate Office Properties Trust,Consumer Services,Real Estate Investment Trusts
CORV,Correvio Pharma Corp.,Health Care,Major Pharmaceuticals
CRVL,CorVel Corp.,Finance,Specialty Insurers
CRVS,"Corvus Pharmaceuticals, Inc.",Health Care,Major Pharmaceuticals
CSGP,"CoStar Group, Inc.",Miscellaneous,Business Services
COST,Costco Wholesale Corporation,Consumer Services,Department/Specialty Retail Stores
COTV,"Cotiviti Holdings, Inc.",Miscellaneous,Business Services
COT,Cott Corporation,Consumer Non-Durables,Beverages (Production/Distribution)
COTY,Coty Inc.,Consumer Non-Durables,Package Goods/Cosmetics
CPAH,CounterPath Corporation,Technology,Computer Software: Prepackaged Software
ICBK,"County Bancorp, Inc.",Finance,Major Banks
COUP,Coupa Software Incorporated,Technology,Computer Software: Prepackaged Software
CUZ,Cousins Properties Incorporated,Consumer Services,Real Estate Investment Trusts
CVA,Covanta Holding Corporation,Basic Industries,Electric Utilities: Central
CVTI,"Covenant Transportation Group, Inc.",Transportation,Trucking Freight/Courier Services
COWN,Cowen Inc.,Finance,Investment Bankers/Brokers/Service
COWNL,Cowen Inc.,Finance,Investment Bankers/Brokers/Service
COWNZ,Cowen Inc.,Finance,Investment Bankers/Brokers/Service
CPF,CPB Inc.,Finance,Major Banks
CVU,"CPI Aerostructures, Inc.",Capital Goods,Military/Government/Technical
PMTS,CPI Card Group Inc.,Finance,Finance Companies
CPSH,CPS Technologies Corp.,Capital Goods,Building Materials
CRAI,"CRA International,Inc.",Miscellaneous,Other Consumer Services
CBRL,"Cracker Barrel Old Country Store, Inc.",Consumer Services,Restaurants
BREW,"Craft Brew Alliance, Inc.",Consumer Non-Durables,Beverages (Production/Distribution)
CR,Crane Company,Capital Goods,Metal Fabrications
CRAY,Cray Inc,Technology,Computer Manufacturing
CACC,Credit Acceptance Corporation,Finance,Finance: Consumer Services
CREE,"Cree, Inc.",Technology,Semiconductors
CPG,Crescent Point Energy Corporation,Energy,Oil & Gas Production
CEQP,Crestwood Equity Partners LP,Consumer Services,Other Consumer Services
CRNX,"Crinetics Pharmaceuticals, Inc.",Health Care,Major Pharmaceuticals
CROX,"Crocs, Inc.",Consumer Non-Durables,Shoe Manufacturing
CRON,Cronos Group Inc.,Consumer Durables,Specialty Chemicals
CCRN,"Cross Country Healthcare, Inc.",Technology,Professional Services
CRT,Cross Timbers Royalty Trust,Energy,Oil & Gas Production
CAPL,CrossAmerica Partners LP,Energy,Oil Refining/Marketing
CCI,Crown Castle International Corporation,Consumer Services,Real Estate Investment Trusts
CRWS,"Crown Crafts, Inc.",Basic Industries,Textiles
CCK,"Crown Holdings, Inc.",Consumer Durables,Containers/Packaging
CRY,"CryoLife, Inc.",Health Care,Medical/Dental Instruments
CYRX,"CryoPort, Inc.",Transportation,Oil Refining/Marketing
CYRXW,"CryoPort, Inc.",Transportation,Oil Refining/Marketing
CSGS,"CSG Systems International, Inc.",Technology,EDP Services
CCLP,CSI Compressco LP,Energy,Oilfield Services/Equipment
CSPI,CSP Inc.,Technology,EDP Services
CSS,"CSS Industries, Inc.",Consumer Services,Consumer: Greeting Cards
CSWI,"CSW Industrials, Inc.",Basic Industries,Home Furnishings
CSX,CSX Corporation,Transportation,Railroads
CTIC,CTI BioPharma Corp.,Health Care,Major Pharmaceuticals
CTIB,CTI Industries Corporation,Basic Industries,Specialty Chemicals
CTS,CTS Corporation,Technology,Electrical Products
CUBE,CubeSmart,Consumer Services,Real Estate Investment Trusts
CUB,Cubic Corporation,Capital Goods,Industrial Machinery/Components
CUE,"Cue Biopharma, Inc.",Health Care,Major Pharmaceuticals
CUI,"CUI Global, Inc.",Consumer Non-Durables,Electronic Components
CFR,"Cullen/Frost Bankers, Inc.",Finance,Major Banks
CULP,"Culp, Inc.",Basic Industries,Textiles
CPIX,Cumberland Pharmaceuticals Inc.,Health Care,Major Pharmaceuticals
CMI,Cummins Inc.,Energy,Industrial Machinery/Components
CRIS,"Curis, Inc.",Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
CW,Curtiss-Wright Corporation,Technology,Industrial Machinery/Components
CUBI,"Customers Bancorp, Inc",Finance,Major Banks
CUBS,"Customers Bancorp, Inc",Finance,Major Banks
CUTR,"Cutera, Inc.",Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus
CVBF,CVB Financial Corporation,Finance,Major Banks
CVV,CVD Equipment Corporation,Technology,Industrial Machinery/Components
CVI,CVR Energy Inc.,Energy,Integrated oil Companies
UAN,"CVR Partners, LP",Basic Industries,Agricultural Chemicals
CVRR,"CVR Refining, LP",Energy,Integrated oil Companies
CVS,CVS Health Corporation,Health Care,Medical/Nursing Services
CYAN,Cyanotech Corporation,Consumer Durables,Specialty Chemicals
CYBE,CyberOptics Corporation,Capital Goods,Electronic Components
CYCC,"Cyclacel Pharmaceuticals, Inc.",Health Care,Major Pharmaceuticals
CYCCP,"Cyclacel Pharmaceuticals, Inc.",Health Care,Major Pharmaceuticals
CBAY,CymaBay Therapeutics Inc.,Health Care,Major Pharmaceuticals
CTEK,"CynergisTek, Inc.",Miscellaneous,Business Services
CY,Cypress Semiconductor Corporation,Technology,Semiconductors
CYRN,CYREN Ltd.,Technology,Computer Software: Prepackaged Software
CONE,CyrusOne Inc,Consumer Services,Real Estate Investment Trusts
CYS,"CYS Investments, Inc.",Consumer Services,Real Estate Investment Trusts
CYTK,"Cytokinetics, Incorporated",Health Care,Major Pharmaceuticals
CTMX,"CytomX Therapeutics, Inc.",Health Care,Major Pharmaceuticals
CYTX,Cytori Therapeutics Inc.,Health Care,Medical/Dental Instruments
CYTXW,Cytori Therapeutics Inc.,Health Care,Medical/Dental Instruments
CYTXZ,Cytori Therapeutics Inc.,Health Care,Medical/Dental Instruments
CTSO,Cytosorbents Corporation,Health Care,Medical/Dental Instruments
CYTR,CytRx Corporation,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
DHI,"D.R. Horton, Inc.",Capital Goods,Homebuilding
DJCO,Daily Journal Corp. (S.C.),Consumer Services,Newspapers/Magazines
DAKT,"Daktronics, Inc.",Consumer Durables,Miscellaneous manufacturing industries
DAN,Dana Incorporated,Capital Goods,Auto Parts:O.E.M.
DHR,Danaher Corporation,Capital Goods,Industrial Machinery/Components
DRI,"Darden Restaurants, Inc.",Consumer Services,Restaurants
DARE,"Dare Bioscience, Inc.",Health Care,Major Pharmaceuticals
DAR,Darling Ingredients Inc.,Consumer Non-Durables,Packaged Foods
DZSI,"DASAN Zhone Solutions, Inc.",Public Utilities,Telecommunications Equipment
DSKE,"Daseke, Inc.",Consumer Services,Transportation Services
DSKEW,"Daseke, Inc.",Consumer Services,Transportation Services
DAIO,Data I/O Corporation,Capital Goods,Electrical Products
DWCH,Datawatch Corporation,Technology,Computer Software: Prepackaged Software
PLAY,"Dave & Buster&#39;s Entertainment, Inc.",Consumer Services,Restaurants
DTEA,DAVIDsTEA Inc.,Consumer Non-Durables,Food Chains
DVA,DaVita Inc.,Health Care,Hospital/Nursing Management
DWSN,Dawson Geophysical Company,Energy,Oil & Gas Production
DXR,Daxor Corporation,Health Care,Medical/Dental Instruments
DCP,DCP Midstream LP,Public Utilities,Natural Gas Distribution
DCT,DCT Industrial Trust Inc,Consumer Services,Real Estate Investment Trusts
DDR,DDR Corp.,Consumer Services,Real Estate Investment Trusts
DF,Dean Foods Company,Consumer Non-Durables,Packaged Foods
DCPH,"Deciphera Pharmaceuticals, Inc.",Health Care,Major Pharmaceuticals
DECK,Deckers Outdoor Corporation,Consumer Non-Durables,Shoe Manufacturing
DE,Deere & Company,Capital Goods,Industrial Machinery/Components
DFRG,"Del Frisco&#39;s Restaurant Group, Inc.",Consumer Services,Restaurants
TACO,"Del Taco Restaurants, Inc.",Consumer Services,Restaurants
TACOW,"Del Taco Restaurants, Inc.",Consumer Services,Restaurants
DKL,"Delek Logistics Partners, L.P.",Energy,Natural Gas Distribution
DK,"Delek US Holdings, Inc.",Energy,Integrated oil Companies
DMPI,"DelMar Pharmaceuticals, Inc.",Health Care,Major Pharmaceuticals
DAL,"Delta Air Lines, Inc.",Transportation,Air Freight/Delivery Services
DLA,"Delta Apparel, Inc.",Consumer Non-Durables,Apparel
DLX,Deluxe Corporation,Consumer Durables,Publishing
DNLI,Denali Therapeutics Inc.,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
DNR,Denbury Resources Inc.,Energy,Oil & Gas Production
DNN,Denison Mine Corp,Basic Industries,Precious Metals
DENN,Denny&#39;s Corporation,Consumer Services,Restaurants
XRAY,DENTSPLY SIRONA Inc.,Health Care,Medical/Dental Instruments
DEPO,"Depomed, Inc.",Health Care,Major Pharmaceuticals
DDOC,"DERMAdoctor, Inc.",Consumer Non-Durables,Package Goods/Cosmetics
DERM,"Dermira, Inc.",Health Care,Major Pharmaceuticals
DEST,Destination Maternity Corporation,Consumer Services,Clothing/Shoe/Accessory Stores
DXLG,"Destination XL Group, Inc.",Consumer Services,Clothing/Shoe/Accessory Stores
DTRM,"Determine, Inc. ",Technology,Computer Software: Prepackaged Software
DKT,Deutsch Bk Contingent Cap Tr V,Finance,Major Banks
DVN,Devon Energy Corporation,Energy,Oil & Gas Production
DXCM,"DexCom, Inc.",Health Care,Medical/Dental Instruments
DFBH,DFB Healthcare Acquisitions Corp.,Finance,Business Services
DFBHU,DFB Healthcare Acquisitions Corp.,Finance,Business Services
DFBHW,DFB Healthcare Acquisitions Corp.,Finance,Business Services
DGSE,"DGSE Companies, Inc.",Consumer Services,Consumer Specialties
DHX,"DHI Group, Inc.",Miscellaneous,Business Services
DHIL,"Diamond Hill Investment Group, Inc.",Finance,Investment Managers
DO,"Diamond Offshore Drilling, Inc.",Energy,Oil & Gas Production
FANG,"Diamondback Energy, Inc.",Energy,Oil & Gas Production
DRH,Diamondrock Hospitality Company,Consumer Services,Real Estate Investment Trusts
DRNA,"Dicerna Pharmaceuticals, Inc.",Health Care,Major Pharmaceuticals
DKS,Dick&#39;s Sporting Goods Inc,Consumer Services,Other Specialty Stores
DBD,Diebold Nixdorf Incorporated,Miscellaneous,Office Equipment/Supplies/Services
DFBG,Differential Brands Group Inc.,Consumer Non-Durables,Apparel
DFFN,Diffusion Pharmaceuticals Inc.,Health Care,Major Pharmaceuticals
DGII,Digi International Inc.,Technology,Computer Communications Equipment
DMRC,Digimarc Corporation,Technology,EDP Services
DRAD,Digirad Corporation,Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus
DGLY,"Digital Ally, Inc.",Technology,Radio And Television Broadcasting And Communications Equipment
DLR,"Digital Realty Trust, Inc.",Consumer Services,Real Estate Investment Trusts
APPS,"Digital Turbine, Inc.",Miscellaneous,Multi-Sector Companies
DDS,"Dillard&#39;s, Inc.",Consumer Services,Department/Specialty Retail Stores
DDT,"Dillard&#39;s, Inc.",Consumer Services,Department/Specialty Retail Stores
DCOM,"Dime Community Bancshares, Inc.",Finance,Savings Institutions
DIN,"Dine Brands Global, Inc.",Consumer Services,Restaurants
DIOD,Diodes Incorporated,Technology,Semiconductors
DPLO,"Diplomat Pharmacy, Inc.",Health Care,Medical/Nursing Services
DFS,Discover Financial Services,Finance,Finance: Consumer Services
DISCA,"Discovery, Inc.",Consumer Services,Television Services
DISCB,"Discovery, Inc.",Consumer Services,Television Services
DISCK,"Discovery, Inc.",Consumer Services,Television Services
DISH,DISH Network Corporation,Consumer Services,Television Services
DVCR,Diversicare Healthcare Services Inc.,Health Care,Hospital/Nursing Management
SAUC,"Diversified Restaurant Holdings, Inc.",Consumer Services,Restaurants
DLHC,DLH Holdings Corp.,Technology,Professional Services
BOOM,DMC Global Inc.,Capital Goods,Industrial Specialties
DNBF,DNB Financial Corp,Finance,Major Banks
DSS,"Document Security Systems, Inc.",Consumer Durables,Containers/Packaging
DOCU,"DocuSign, Inc.",Technology,Computer Software: Prepackaged Software
DLB,Dolby Laboratories,Miscellaneous,Multi-Sector Companies
DG,Dollar General Corporation,Consumer Services,Department/Specialty Retail Stores
DLTR,"Dollar Tree, Inc.",Consumer Services,Department/Specialty Retail Stores
DLPN,"Dolphin Entertainment, Inc.",Consumer Services,Other Consumer Services
DLPNW,"Dolphin Entertainment, Inc.",Consumer Services,Other Consumer Services
DM,"Dominion Energy Midstream Partners, LP",Public Utilities,Natural Gas Distribution
D,"Dominion Energy, Inc.",Public Utilities,Electric Utilities: Central
DCUD,"Dominion Energy, Inc.",Public Utilities,Electric Utilities: Central
DRUA,"Dominion Energy, Inc.",Public Utilities,Electric Utilities: Central
DPZ,Domino&#39;s Pizza Inc,Consumer Non-Durables,Food Distributors
DOMO,"Domo, Inc.",Technology,Computer Software: Prepackaged Software
UFS,Domtar Corporation,Basic Industries,Paper
DCI,"Donaldson Company, Inc.",Capital Goods,Pollution Control Equipment
DGICA,"Donegal Group, Inc.",Finance,Property-Casualty Insurers
DGICB,"Donegal Group, Inc.",Finance,Property-Casualty Insurers
DMLP,"Dorchester Minerals, L.P.",Energy,Oil & Gas Production
DORM,"Dorman Products, Inc.",Capital Goods,Auto Parts:O.E.M.
PLOW,"Douglas Dynamics, Inc.",Capital Goods,Construction/Ag Equipment/Trucks
DEI,"Douglas Emmett, Inc.",Consumer Services,Real Estate Investment Trusts
DOVA,"Dova Pharmaceuticals, Inc.",Health Care,Major Pharmaceuticals
DOV,Dover Corporation,Technology,Industrial Machinery/Components
DDE,Dover Downs Gaming & Entertainment Inc,Consumer Services,Services-Misc. Amusement & Recreation
DVD,"Dover Motorsports, Inc.",Consumer Services,Services-Misc. Amusement & Recreation
DPW,"DPW Holdings, Inc.",Capital Goods,Industrial Machinery/Components
DOTA,"Draper Oakwood Technology Acquisition, Inc.",Finance,Business Services
DOTAR,"Draper Oakwood Technology Acquisition, Inc.",Finance,Business Services
DOTAU,"Draper Oakwood Technology Acquisition, Inc.",Finance,Business Services
DOTAW,"Draper Oakwood Technology Acquisition, Inc.",Finance,Business Services
DRQ,"Dril-Quip, Inc.",Energy,Metal Fabrications
DS,Drive Shack Inc.,Consumer Services,Real Estate Investment Trusts
DBX,"Dropbox, Inc.",Technology,Computer Software: Prepackaged Software
DCAR,"DropCar, Inc.",Consumer Services,Telecommunications Equipment
DSPG,"DSP Group, Inc.",Technology,Semiconductors
DSW,DSW Inc.,Consumer Services,Clothing/Shoe/Accessory Stores
DTE,DTE Energy Company,Public Utilities,Electric Utilities: Central
DTJ,DTE Energy Company,Public Utilities,Electric Utilities: Central
DTQ,DTE Energy Company,Public Utilities,Electric Utilities: Central
DTV,DTE Energy Company,Public Utilities,Electric Utilities: Central
DTW,DTE Energy Company,Public Utilities,Electric Utilities: Central
DTY,DTE Energy Company,Public Utilities,Electric Utilities: Central
DCO,Ducommun Incorporated,Capital Goods,Military/Government/Technical
DUK,Duke Energy Corporation,Public Utilities,Power Generation
DUKH,Duke Energy Corporation,Public Utilities,Power Generation
DRE,Duke Realty Corporation,Consumer Services,Real Estate Investment Trusts
DLTH,Duluth Holdings Inc.,Consumer Services,Clothing/Shoe/Accessory Stores
DNB,Dun & Bradstreet Corporation (The),Finance,Finance: Consumer Services
DNKN,"Dunkin&#39; Brands Group, Inc.",Consumer Services,Restaurants
DRRX,DURECT Corporation,Health Care,Major Pharmaceuticals
DXPE,"DXP Enterprises, Inc.",Capital Goods,Industrial Machinery/Components
DY,"Dycom Industries, Inc.",Basic Industries,Water Supply
DYSL,Dynasil Corporation of America,Capital Goods,Industrial Machinery/Components
DYNT,Dynatronics Corporation,Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus
DVAX,Dynavax Technologies Corporation,Health Care,Major Pharmaceuticals
DX,"Dynex Capital, Inc.",Consumer Services,Real Estate Investment Trusts
ETFC,E*TRADE Financial Corporation,Finance,Savings Institutions
DD^A,E.I. du Pont de Nemours and Company,Basic Industries,Major Chemicals
DD^B,E.I. du Pont de Nemours and Company,Basic Industries,Major Chemicals
ELF,"e.l.f. Beauty, Inc.",Consumer Non-Durables,Package Goods/Cosmetics
SSP,E.W. Scripps Company (The),Consumer Services,Broadcasting
EBMT,"Eagle Bancorp Montana, Inc.",Finance,Major Banks
EGBN,"Eagle Bancorp, Inc.",Finance,Major Banks
EGLE,Eagle Bulk Shipping Inc.,Transportation,Marine Transportation
EFBI,"Eagle Financial Bancorp, Inc.",Finance,Savings Institutions
EXP,Eagle Materials Inc,Capital Goods,Building Materials
EGRX,"Eagle Pharmaceuticals, Inc.",Health Care,Major Pharmaceuticals
ESTE,"Earthstone Energy, Inc.",Energy,Oil & Gas Production
EWBC,"East West Bancorp, Inc.",Finance,Major Banks
EACQ,Easterly Acquisition Corp.,Finance,Finance: Consumer Services
EACQU,Easterly Acquisition Corp.,Finance,Finance: Consumer Services
EACQW,Easterly Acquisition Corp.,Finance,Finance: Consumer Services
DEA,"Easterly Government Properties, Inc.",Consumer Services,Real Estate Investment Trusts
EML,Eastern Company (The),Capital Goods,Industrial Machinery/Components
EGP,"EastGroup Properties, Inc.",Consumer Services,Real Estate Investment Trusts
EMN,Eastman Chemical Company,Basic Industries,Major Chemicals
KODK,Eastman Kodak Company,Miscellaneous,Industrial Machinery/Components
